user_id,episode_id,tv_show_name,episode_number,show_character_id,created_at,updated_at,fb_action_id,episode_season_number
11519429,5672845,Blood Drive,1,64299133,2019-03-29 13:52:56,2019-03-29 13:52:56,,1
11519429,6848551,Diablero,1,64945489,2019-01-01 22:12:05,2019-01-01 22:12:05,,1
