user_id,badge_id,created_at,updated_at
11519429,262558-marathoner-3-within-24-bd,2019-01-17 13:33:40,2019-01-17 13:33:40
11519429,356202-marathoner-3-within-24-bd,2023-12-21 06:31:15,2023-12-21 06:31:15
11519429,356202-marathoner-5-within-24-bd,2023-12-21 06:31:20,2023-12-21 06:31:20
11519429,357888-quick-watcher-10-bd,2019-03-17 20:23:15,2019-03-17 20:23:15
11519429,357888-quick-watcher-3-bd,2019-03-17 19:34:54,2019-03-17 19:34:54
11519429,357888-quick-watcher-5-bd,2019-03-17 19:35:00,2019-03-17 19:35:00
11519429,archived-show,2022-03-25 22:36:43,2022-03-25 22:36:43
11519429,serial-watcher-5-bd,2017-05-13 13:29:13,2017-05-13 13:29:13
11519429,viewed-profile,2017-02-22 19:16:50,2017-02-22 19:16:50
11519429,voted-character,2019-01-01 22:12:05,2019-01-01 22:12:05
