objects,ordering,description,type,created_at,is_public,name,user_id,s_key,lists,movie_name,series_name,season_number,episode_number
[map[created_at:1.77558513e+09 id:370853 type:series uuid:0f8c30d5-16b8-4549-a24b-aa0c451d1f44] map[created_at:1.775585137e+09 id:368401 type:series uuid:ee78f402-c69c-48a7-9e23-6341a2a58768] map[created_at:1.77558831e+09 id:262407 type:series uuid:d73cbd9b-cf96-4676-9038-554d5d95733c] map[created_at:1.775588362e+09 id:398362 type:series uuid:63c4f17e-c8f6-4528-8126-ba68947c7d03] map[created_at:1.775588713e+09 id:329083 type:series uuid:53b946df-44e3-48d8-a8cd-f62eced17bd9] map[created_at:1.780214818e+09 type:movie uuid:1f91079c-763f-48d1-9154-0c5c35530428] map[created_at:1.780290693e+09 id:450033 type:series uuid:8e3e587d-324f-40c6-9889-48d4ddbf0b60] map[created_at:1.780326735e+09 id:460383 type:series uuid:dc693348-532e-40b9-8040-14322e2c98f7] map[created_at:1.78032678e+09 id:402256 type:series uuid:ef91201e-24ba-46dc-898b-ab504b93d474]],0,,list,2026-05-20 18:02:42,false,,11519429,9bbc4815-cfe2-40bf-b99f-3c189b709a08,,,,,
,,,,,,,11519429,collection,[map[created_at:1.621950897e+09 description:<nil> fanart:<nil> is_public:false name:Favorite Shows order:<nil> posters:<nil> s_key:favorite-series type:list updated_at:1.621950897e+09 user_id:1.1519429e+07] map[created_at:1.621950897e+09 description:<nil> fanart:<nil> is_public:false name:Favorite Movies order:<nil> posters:<nil> s_key:favorite-movies type:list updated_at:1.621950897e+09 user_id:1.1519429e+07] map[created_at:1.775585053e+09 description:<nil> fanart:[https://artworks.thetvdb.com/banners/fanart/original/5c714a68e4610.jpg https://artworks.thetvdb.com/banners/fanart/original/5bf87055b8ee3.jpg https://artworks.thetvdb.com/banners/v4/series/434004/backgrounds/697a25a1b8754.jpg https://artworks.thetvdb.com/banners/fanart/original/309052-1.jpg] is_public:true name:da vedere Pio order:<nil> posters:[https://artworks.thetvdb.com/banners/series/345246/posters/5f79dcd1ae8c2.jpg https://artworks.thetvdb.com/banners/series/352822/posters/62085513.jpg https://artworks.thetvdb.com/banners/v4/series/434004/posters/698a352f30a6f.jpg https://artworks.thetvdb.com/banners/posters/65e469489a001.jpg] s_key:dcdd9da2-12da-4895-a858-b325a7651f13 type:list updated_at:1.775585053e+09 user_id:1.1519429e+07] map[created_at:1.77558511e+09 description:<nil> fanart:[https://artworks.thetvdb.com/banners/v4/series/370853/backgrounds/65708cf3a7b4d.jpg https://artworks.thetvdb.com/banners/v4/series/368401/backgrounds/633d7e3c84ab5.jpg https://artworks.thetvdb.com/banners/fanart/original/262407-3.jpg https://artworks.thetvdb.com/banners/v4/series/398362/backgrounds/634753ef3d9c8.jpg] is_public:true name:da vedere Sara  order:<nil> posters:[https://artworks.thetvdb.com/banners/v4/series/370853/posters/651ebf4eb65ed.jpg https://artworks.thetvdb.com/banners/v4/series/368401/posters/634a387a91aae.jpg https://artworks.thetvdb.com/banners/posters/262407-1.jpg https://artworks.thetvdb.com/banners/v4/series/398362/posters/632efed882988.jpg] s_key:9bbc4815-cfe2-40bf-b99f-3c189b709a08 type:list updated_at:1.77558511e+09 user_id:1.1519429e+07]],,,,
[map[created_at:1.7755852e+09 id:345246 type:series uuid:806149b0-06b7-4785-b130-9faa2fc0ef3f] map[created_at:1.775588292e+09 id:352822 type:series uuid:f865ae77-a07e-4cee-913b-5bafbb945984] map[created_at:1.775588407e+09 id:434004 type:series uuid:55bc50d4-aba2-4aa0-8d3d-a08013ae504c] map[created_at:1.776892754e+09 id:309052 type:series uuid:9378fbaa-02c1-4e29-abfe-4ed4e21d5258] map[created_at:1.776972879e+09 type:movie uuid:9b1382d8-de11-4c6d-a29e-027fb6829f96] map[created_at:1.779300427e+09 id:401003 type:series uuid:643dde38-b90f-4c29-b4a8-785db05a627e] map[created_at:1.779830062e+09 id:422598 type:series uuid:218be4d3-1a7f-4464-aaf8-c90fc46e39c0] map[created_at:1.779830072e+09 id:454109 type:series uuid:59a96901-c3b5-4e4a-913d-2cad4d275c26] map[created_at:1.779830124e+09 type:movie uuid:8fe0ebcf-8a51-43aa-964a-be69f755b338] map[created_at:1.781090157e+09 id:336079 type:series uuid:ebce85a1-a8b4-4331-870a-65ba067a257d] map[created_at:1.781781614e+09 id:366972 type:series uuid:c23f6bda-208b-4a18-b117-3f65ae9dfeb0] map[created_at:1.78232864e+09 id:402256 type:series uuid:ef91201e-24ba-46dc-898b-ab504b93d474]],0,,list,2026-05-20 18:07:07,false,,11519429,dcdd9da2-12da-4895-a858-b325a7651f13,,,,,
[],0,,list,2026-04-07 18:05:52,false,,11519429,favorite-series,,,,,
